workerid,proliferate.condition,comprehension_check,error
508,test,1,
514,test,1,
534,test,2,
490,test,1,
469,test,1,
481,test,2,
526,test,1,
533,test,1,
529,test,1,
470,test,1,
519,test,1,
478,test,1,
522,test,1,
501,test,1,
489,test,1,
524,test,1,
502,test,1,
488,test,1,
486,test,1,
513,test,1,
498,test,1,
492,test,1,
506,test,3,
503,test,1,
476,test,1,
507,test,1,
518,test,1,
517,test,1,
497,test,2,
532,test,1,
504,test,2,
495,test,1,
521,test,1,
483,test,1,
515,test,1,
485,test,1,
472,test,2,
471,test,1,
499,test,1,
530,test,1,
482,test,1,
487,test,1,
516,test,1,
509,test,2,
510,test,2,
520,test,1,
512,test,1,
496,test,1,
484,test,1,
494,test,1,
474,test,2,
493,test,2,
473,test,1,
527,test,1,
505,test,2,
528,test,1,
500,test,1,
525,test,2,
535,test,2,
475,test,1,
511,test,1,
