workerid,proliferate.condition,condition,creature1_response,creature2_response,creature3_response,creature_1,creature_2,creature_3,error
3942,condition 1,different,4,6,5,Zerp,Xan,Jig,
4000,condition 1,same,5,5,5,Jig,Zerp,Xan,
4122,condition 1,same,1,1,1,Xan,Zerp,Jig,
4048,condition 1,different,2,1,0,Xan,Jig,Zerp,
4020,condition 1,same,4,4,4,Jig,Xan,Zerp,
4097,condition 1,different,2,1,1,Jig,Xan,Zerp,
4011,condition 1,different,0,0,0,Jig,Xan,Zerp,
4051,condition 1,same,5,4,4,Xan,Jig,Zerp,
4119,condition 1,same,5,5,5,Zerp,Xan,Jig,
3946,condition 1,different,3,4,2,Zerp,Xan,Jig,
4079,condition 1,different,3,5,6,Jig,Xan,Zerp,
3929,condition 1,same,0,5,6,Xan,Jig,Zerp,
4013,condition 1,same,4,4,5,Zerp,Xan,Jig,
4001,condition 1,same,5,5,5,Xan,Zerp,Jig,
3922,condition 1,different,2,2,2,Zerp,Jig,Xan,
4120,condition 1,same,6,6,6,Xan,Jig,Zerp,
4031,condition 1,same,4,6,3,Zerp,Jig,Xan,
4085,condition 1,different,2,2,2,Jig,Xan,Zerp,
4070,condition 1,same,2,2,2,Zerp,Jig,Xan,
4026,condition 1,same,4,4,4,Zerp,Xan,Jig,
3996,condition 1,different,2,2,1,Jig,Xan,Zerp,
3928,condition 1,different,2,4,1,Zerp,Xan,Jig,
4029,condition 1,same,3,3,3,Zerp,Jig,Xan,
3948,condition 1,same,4,4,4,Xan,Jig,Zerp,
3999,condition 1,different,5,1,1,Zerp,Xan,Jig,
3965,condition 1,same,3,3,4,Zerp,Xan,Jig,
4055,condition 1,same,3,3,3,Xan,Jig,Zerp,
3991,condition 1,same,0,0,0,Zerp,Xan,Jig,
3977,condition 1,same,4,5,5,Jig,Zerp,Xan,
3970,condition 1,different,5,4,5,Xan,Jig,Zerp,
3934,condition 1,different,0,0,0,Xan,Zerp,Jig,
4112,condition 1,different,4,4,4,Zerp,Jig,Xan,
4022,condition 1,different,0,0,0,Xan,Jig,Zerp,
4065,condition 1,same,5,3,4,Xan,Zerp,Jig,
4004,condition 1,different,2,2,1,Zerp,Xan,Jig,
4063,condition 1,same,4,4,5,Zerp,Jig,Xan,
3953,condition 1,same,2,2,2,Jig,Zerp,Xan,
3924,condition 1,different,6,3,4,Zerp,Xan,Jig,
4047,condition 1,same,5,4,4,Zerp,Xan,Jig,
4116,condition 1,different,1,1,0,Jig,Xan,Zerp,
3960,condition 1,same,5,5,5,Zerp,Xan,Jig,
4104,condition 1,different,4,4,4,Zerp,Jig,Xan,
4086,condition 1,different,6,4,4,Xan,Zerp,Jig,
4003,condition 1,different,5,4,2,Zerp,Jig,Xan,
4066,condition 1,different,5,6,6,Jig,Xan,Zerp,
4110,condition 1,different,3,0,0,Zerp,Jig,Xan,
4034,condition 1,different,5,3,2,Zerp,Xan,Jig,
4043,condition 1,different,0,0,1,Jig,Zerp,Xan,
3927,condition 1,different,4,2,1,Zerp,Jig,Xan,
4054,condition 1,same,5,5,5,Zerp,Xan,Jig,
4062,condition 1,same,4,4,4,Zerp,Xan,Jig,
4088,condition 1,different,2,1,2,Zerp,Jig,Xan,
4106,condition 1,different,3,1,1,Zerp,Xan,Jig,
3926,condition 1,same,1,0,1,Jig,Xan,Zerp,
4052,condition 1,same,6,6,6,Zerp,Jig,Xan,
3993,condition 1,different,5,4,4,Xan,Jig,Zerp,
3975,condition 1,different,5,5,5,Xan,Zerp,Jig,
